N dof dof^b t=0 0.016 0.004 0.001 
4 96 6.207382e+00 1.800847e-02 1.800843e-02 1.800847e-02 1.800847e-02 
8 384 1.080768e+01 5.519654e-06 5.483766e-06 5.519618e-06 5.519654e-06 
12 864 1.494877e+01 1.124246e-08 2.457564e-08 1.120732e-08 1.124243e-08 
16 1536 1.881726e+01 4.302917e-11 3.577269e-08 7.889935e-12 4.299501e-11 
20 2400 2.249492e+01 2.069324e-13 3.581507e-08 3.492779e-11 1.727709e-13 
24 3456 2.602732e+01 1.570644e-15 3.581527e-08 3.513355e-11 3.475050e-14 
28 4704 2.944333e+01 2.944958e-15 3.581524e-08 3.513296e-11 3.082389e-14 
32 6144 3.276276e+01 3.926611e-15 3.581524e-08 3.513394e-11 3.062756e-14 
36 7776 3.600000e+01 2.748628e-15 3.581524e-08 3.513276e-11 3.200188e-14 
