N dof dof^b t=0 0.016 0.004 0.001 
4 96 6.207382e+00 1.577921e-02 1.577919e-02 1.577921e-02 1.577921e-02 
8 384 1.080768e+01 2.587589e-06 2.533971e-06 2.587537e-06 2.587589e-06 
12 864 1.494877e+01 2.284989e-09 5.142950e-08 2.232286e-09 2.284930e-09 
16 1536 1.881726e+01 6.361846e-12 5.370622e-08 4.635192e-11 6.313008e-12 
20 2400 2.249492e+01 2.589109e-14 5.371196e-08 5.268015e-11 4.797827e-14 
24 3456 2.602732e+01 3.681198e-16 5.371195e-08 5.271917e-11 6.969734e-14 
28 4704 2.944333e+01 2.454132e-15 5.371192e-08 5.268935e-11 5.632232e-14 
32 6144 3.276276e+01 2.454132e-15 5.371190e-08 5.272223e-11 6.945193e-14 
36 7776 3.600000e+01 3.190371e-15 5.371192e-08 5.270935e-11 7.411478e-14 
