10  0.224116522110616E-01  0.108567773799706E+00  0.299565453168965E+00
20  0.252832347385709E-03  0.135984878086113E-02  0.763530333862489E-02
30  0.166274792674383E-05  0.867764462272173E-05  0.836071453406240E-04
40  0.828874390297909E-08  0.448681652886948E-07  0.551573980082696E-06
50  0.320888988663693E-10  0.265358069324929E-09  0.254620927401593E-08
60  0.102760542045476E-12  0.118939098388262E-11  0.867219268308268E-11
70  0.988396310612291E-14  0.450197293431826E-14  0.230926352749412E-13
80  0.661653728591699E-14  0.438847781832705E-14  0.272441202681890E-14
90  0.400259662975225E-14  0.226990231982433E-14  0.120652532616266E-13
100  0.187876984661840E-14  0.741501424475949E-14  0.131031245099385E-13
110  0.980227746061776E-14  0.145652065522061E-14  0.230074973991031E-14
