N dof t=0 0.016 0.004 0.001 
2 24 4.224093e-01 4.224091e-01 4.224093e-01 4.224093e-01 
4 96 7.669757e-02 7.669736e-02 7.669757e-02 7.669757e-02 
8 384 1.834682e-03 1.834494e-03 1.834682e-03 1.834682e-03 
16 1536 1.124672e-06 4.473548e-06 1.124496e-06 1.124673e-06 
32 6144 5.562217e-13 4.468438e-06 4.375718e-09 2.652767e-12 
