2 24 3.633802e-01 8.130169e-01 2.619927e-01 3.413392e-01 
4 96 4.226810e-02 1.438564e+00 1.192723e-01 8.416678e-03 
8 384 5.160330e-05 1.153087e+00 1.726302e-01 3.527889e-02 
16 1536 2.869436e-09 1.126606e+00 1.726357e-01 3.527447e-02 
32 6144 1.963305e-16 1.126339e+00 1.726537e-01 3.527644e-02 
