1.518513549546258279e+00 3.843133752978108997e-01 -7.338715577135068724e-02 1.449847418447593461e-01
2.051606612819903752e+00 7.015136839840685479e-01 -9.172981468336126321e-02 1.341338551528144241e-01
2.544200711523642688e+00 1.078825290635097911e+00 -1.051038869575263851e-01 1.239331390162434210e-01
3.000000000000035527e+00 1.499999999999997780e+00 -1.149048519426627696e-01 1.149048519429651666e-01
3.000250790174963100e+00 1.499995086049104476e+00 1.514382164796460317e-01 5.892975979472404174e-02
3.290767240791997672e+00 9.637092579991638486e-01 1.408585127568416362e-01 8.102548601477613244e-02
3.613741053921558422e+00 4.463245843742063013e-01 1.332618471616377753e-01 9.299209692800940175e-02
4.050820029462863126e+00 4.817706344182742795e-02 -6.885314891924424092e-03 1.623540650517844297e-01
4.405989116382043491e+00 5.143645232944680235e-01 -1.468097621897751226e-01 6.966450836531956625e-02
4.678021930435930287e+00 1.060126362708940562e+00 -1.419387164912308541e-01 7.911795473103429288e-02
5.015058567323931626e+00 1.568230328392078210e+00 -1.268965584010954828e-01 1.015062237794183836e-01
5.451738608112067119e+00 1.990940835730609537e+00 -9.423405612912509610e-02 1.323865275073445591e-01
