N dof dof^b t=0 0.016 0.004 0.001 
4 96 6.207382e+00 1.024176e-02 1.024172e-02 1.024176e-02 1.024176e-02 
8 384 1.080768e+01 1.585043e-06 1.531368e-06 1.584991e-06 1.585043e-06 
12 864 1.494877e+01 1.893810e-09 5.182157e-08 1.841092e-09 1.893755e-09 
16 1536 1.881726e+01 6.149441e-12 5.370577e-08 4.656482e-11 6.108579e-12 
20 2400 2.249492e+01 2.711816e-14 5.371197e-08 5.270996e-11 3.484867e-14 
24 3456 2.602732e+01 4.908263e-16 5.371194e-08 5.270137e-11 6.245765e-14 
28 4704 2.944333e+01 5.153677e-15 5.371193e-08 5.273549e-11 6.282577e-14 
32 6144 3.276276e+01 7.607808e-15 5.371192e-08 5.273095e-11 7.583267e-14 
36 7776 3.600000e+01 6.748862e-15 5.371191e-08 5.272334e-11 6.982005e-14 
