10  0.103196019582964E+00  0.902555069613722E+00
20  0.144319720239420E-02  0.269761695141112E-01
30  0.150018465332200E-04  0.479469533716199E-03
40  0.103814274317446E-06  0.824228604581950E-05
50  0.532355575600351E-09  0.987753508900338E-07
60  0.217222085666123E-11  0.570539036690723E-09
70  0.360475621070236E-11  0.379126972175716E-09
80  0.170953910047037E-11  0.178644172418274E-09
90  0.163902080173449E-11  0.175161660311516E-09
100  0.712446674782198E-12  0.813323263052958E-10
110  0.369282842071155E-11  0.384401887928308E-09
