           2  0.34074029833019165       0.73722629173558496       0.83084851404259019     
          10   2.9761762864997394E-002   6.0150983675096067E-002  0.22133722951134654     
          17   5.8195893007694714E-004   6.6740808163810034E-003   1.9285569545228413E-002
          25   2.4672130566274894E-005   1.2316608651300099E-004   5.7417223585572771E-004
          32   3.5964296553059326E-007   5.1022188776682952E-006   3.0566979530771461E-005
          40   8.9217735110441658E-009   8.1219675062384580E-008   2.9740792310777959E-007
          47   1.2353124124194327E-010   1.4101647100451617E-009   1.6183095398892578E-008
          55   1.8328625138445120E-012   2.6961256615882822E-011   5.0478275774532845E-010
          62   2.7283005598719448E-014   4.8795333535157097E-012   5.5448122247074670E-010
          70   1.0945876497689838E-014   4.8603148472078638E-012   5.5163382270100293E-010
