N dof t=0 0.016 0.004 0.001 
2 24 6.324474e-01 6.324477e-01 6.324474e-01 6.324474e-01 
4 96 5.048884e-02 5.048885e-02 5.048884e-02 5.048884e-02 
8 384 5.385225e-05 5.379895e-05 5.385220e-05 5.385225e-05 
16 1536 4.099825e-10 5.330421e-08 3.572823e-10 4.099315e-10 
32 6144 2.086012e-15 5.371193e-08 5.269610e-11 6.613885e-14 
