N dof dof^b t=0 0.016 0.004 0.001 
4 96 6.207382e+00 1.177927e-02 1.177919e-02 1.177927e-02 1.177927e-02 
8 384 1.080768e+01 2.818258e-06 2.782389e-06 2.818223e-06 2.818258e-06 
12 864 1.494877e+01 6.403478e-09 2.941482e-08 6.368338e-09 6.403444e-09 
16 1536 1.881726e+01 2.567238e-11 3.578957e-08 9.464899e-12 2.563822e-11 
20 2400 2.249492e+01 1.284002e-13 3.581516e-08 3.500946e-11 9.404233e-14 
24 3456 2.602732e+01 1.963305e-15 3.581526e-08 3.513394e-11 3.298353e-14 
28 4704 2.944333e+01 4.908263e-15 3.581525e-08 3.513885e-11 4.044409e-14 
32 6144 3.276276e+01 5.300924e-15 3.581524e-08 3.513924e-11 3.828445e-14 
36 7776 3.600000e+01 6.282577e-15 3.581525e-08 3.514160e-11 3.985510e-14 
