N dof dof^b t=0 0.016 0.004 0.001 
4 96 6.207382e+00 3.445889e-02 3.445865e-02 3.445889e-02 3.445889e-02 
8 384 1.080768e+01 2.659159e-04 2.657246e-04 2.659157e-04 2.659159e-04 
12 864 1.494877e+01 2.124059e-06 4.468833e-06 2.123874e-06 2.124058e-06 
16 1536 1.881726e+01 1.766359e-08 4.468834e-06 1.747968e-08 1.766342e-08 
20 2400 2.249492e+01 1.503137e-10 4.468834e-06 4.376059e-09 1.501439e-10 
24 3456 2.602732e+01 1.314948e-12 4.468834e-06 4.376064e-09 4.292788e-12 
28 4704 2.944333e+01 8.126833e-14 4.468834e-06 4.376073e-09 4.300782e-12 
32 6144 3.276276e+01 6.605827e-14 4.468834e-06 4.376091e-09 4.301448e-12 
36 7776 3.600000e+01 6.639134e-14 4.468834e-06 4.376070e-09 4.289458e-12 
